[…]doet na das |  DAT
Ende desen verbat die abt mede |  MEDE
// het geuiel (in)den tiden daer nare |  DAARNAAR
dat dese abt huge vor waer |  VOORWAAR
Ons heren lichaem soude geuen |  GEVEN
maer en was niet inden tiden tgene |  GENE
dat(…) alleliede nemen gemene |  GEMEEN
die lazer(..) met sinen (…)inen monde |  MOND
ende met sinen leliken lipper ter stonde |  STOND
(So)elude ende walcte onsen here |  HEER
Gelijc enen verkine min no mere |  MEER
Ende doe(…..) hine vte daer (naer) |  DAARNAAR
In (...) spe(..)len aldaer |  ALDAAR
Dat iegewelken gruwelen mochte |  MOGEN
Een die dabt met hem brochte |  BRENGEN
Een gods riddere hiet goderannus | XXX
Hi nam ende gaderde aldus |  ALDUS
Ende werpt in sinen mont daer naer |  DAARNAAR
alsoet die gene vt spieu daer |  DAAR
so soep hijt vp daer metten monde |  MOND
van derre dinc mach elc ter stonde |  STOND
wonderen hoe hi dit gedede |  GEDOEN
dese goderannus mede |  MEDE
Wert sint te bisscop gewiet |  WIJDEN
Daer hi dodelike in (d)iet |  DIET
Wat huge vercreech in |  IN
Het es sede te clungi mede |  MEDE
Dat men des kerstnach ter stede |  STAD
Sinct ende leest met begerte groet |  GROOT
W(…)ende ende met groter gemoet |  GEMOED
Quam huge die abt die out was |  ZIJN
[…] In cappittelen ende vermaende dat |  DAT
(…)en broederen ende seide aldus |  ALDUS
Ghi wet wel lieue broedere vor waer |  VOORWAAR
dat hi die werdege here ihesus | XXX
tonser feesten sal comen dus |  DUS
Ende den quaden viant weder staen |  WEERSTAAN
met siere claerheit sonder waen |  WAAN
Dat sine donkere neuelachticheit | XXX
Ons en doen en gene arbeit |  ARBEID
Doe sprac .i. broeder ende seide daer |  DAAR
Dat hi op .i. nacht vor waer |  VOORWAAR
Die moeder van ontfermichede |  ONTFERMIGHEID
Ende haerren sone hebben (m)ede |  MEDE
…ijt dat sine opten seluen nacht |  NACHT
…er werelt heuet vore bracht |  BRENGEN
van ingelen menechfoldechede | XXX
Ende met groter claerhede |  KLAARHEID
Ende dat kijndekijn dat god was |  ZIJN
Verblijdde van herten sere na das |  DAT
Ende speelde metten handen sere |  ZEER
Ende sette hem ter moeder werd in kere |  KEER
Ende sprac besich moeder minen nacht |  NACHT
Hoe hi met bliscapen es vord bracht |  BRENGEN
Inden welken der propheten tale |  TAAL
Ende der ingele loue also wale |  ALZOWEL
Werden vernuet ende oec ter stede |  STAD
Van mire geborte ende der uwer mede |  MEDE
Alte gader optesen tij(t) |  TIJD
Hemelrike ende eertrike nv verblijt |  VERBLIJD
Waer es nu die verdoemde viant |  VIJAND
waer sine mogentheit becant |  BEKEND
Die vor dese gemene bliscap | XXX
In die werelt hadde heerscap | XXX
Die viant die dit heeft gehort |  HOREN
Werd sere bescaemt om die wort |  WOORD
Ende vertoende hem van verren blodelike | XXX
Ende weende ende huulde lelike | XXX
Ende bat dat hine verliete mede |  MEDE
Ende (v)loen en mach in gene stede |  STAD
In dese kerke des biddic v | XXX
van mi iegerent hebben nv | XXX
Daer buten daer ic mach gaen in |  IN
Onse here seide doe intbegin | XXX
Dune sult mine mogenth niet verdienen |  VERDIENEN
Noch met wenen daer toe comen |  TOEKOMEN
Nu ganc dieffelike van dan |  VANDAAN
Ende proef wattu gedoen can |  KUNNEN
Die quade werd daer doe ontbonden |  ONTBINDEN
Ende wilde in enen buuc tien stonden |  STOND
maer hine conder niet in comen doe |  TOEN
want hi was achter so vaste toe |  TOE
dat hire in mochte comen niet |  NIET
ende die hi van danen sciet |  SCHEIDEN
dedi (…)aemt ward sine vard |  VAART
Ende waende daer ongespard |  ONGESPAARD
Ouermids sine quade fantome | XXX
Daer in sijn comen met enen drome |  DROOM
Daer ward hi der gesteken vut | XXX
Doe keerdi ten reefter sonder geluut |  GELUID
Om enige dure te hebben daer |  DAAR
Ende daer waren so vele dats waer |  WAAR
Godliker worde geseit ter stede |  STAD
Dat hi en conste geduren mede |  MEDE
Noch op balke noch op hameide | XXX
Daer moesti maken daer .i. gesceide | XXX
Ende aldus was hi ouer waer |  WAAR
Vt allen ambachte geworpen daer |  DAAR
In iegen wordecheiden natgone | XXX
[ ]ls edelre maget marien sone |  ZOON
Onlange vor dien dat steruen soude |  ZULLEN
Dese heylige huge alst god woude |  WILLEN
So vertoende hem .i. dorp man |  MAN
Op .i. velt vele heylegen dan |  DAN
Vor alle die scare blidelike |  BLIJDELIJK
Ende sach den dorp man onder ogen |  OOG
Ende na dese heylige scare vermogen |  VERMOGEN
Sach hi enen ouden gaen |  GAAN
Die tote hem dus sprac saen |  ZAAN
Dacker man wies dit lant |  LAND
Dattu hier in ackers te hant |  TEHAND
Sente peters seide die man |  MAN
Ende des abs van clungi mede dan |  DAN
Ende die oude seide aldaer |  ALDAAR
Dese acker es mine weet vor waer |  VOORWAAR
